国投安信期货有限公司
制表时间 Creation Date：20180724
----------------------------------------------------------------------------------------------------
交易结算单(逐笔)Settlement Statement(Trade-for-Trade)
客户号 Client ID,81513,客户名称 Client Name,嘉吉粮油（南通）有限公司
日期 Date,20180725
""
""
资金状况 币种：人民币 Account Summary Currency,CNY
----------------------------------------------------------------------------------------------------------------
期初结存 Balance b/f,4914040.5,基础保证金 Initial Margin,500.00
出 入 金 Deposit/Withdrawal,0.0,期末结存 Balance c/f,4913938.55
平仓盈亏 Realized P/L,0.0,质 押 金 Pledge Amount,0.00
浮动盈亏 Accum. P/L,-16660.0,客户权益 Client Equity,4897278.55
期权执行盈亏 Exercise P/L,0.0,货币质押保证金占用 FX Pledge Occ.,0.00
手 续 费 Commission,102.0,保证金占用 Margin Occupied,1472874.00
行权手续费 Exercise Fee,0.0,交割保证金 Delivery Margin,0.00
交割手续费： Delivery Fee,0.0,多头期权市值 market value(long),0.00
货币质入 New FX Pledge,0.0,空头期权市值 market value(short),0.00
货币质出 FX Redemption,0.0,市值权益 market value(equity),4897278.55
质押变化金额 Chg in Pledge Amt,0.0,可用资金 Fund Avail.,3424404.55
权利金收入 premium received,0.0,风 险 度 Risk Degree,30.08%
权利金支出 premium paid,0.0,应追加资金 Margin Call,0.00
货币质押变化金额 Chg in FX Pledge,0.00
""
成交记录 Transaction Record
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
成交日期,交易所,品种,合约,买/卖,投/保,成交价,手数,成交额,开平,手续费,平仓盈亏,权利金收支,成交序号,
Date,Exchange,Product,Instrument,B/S,S/H,Price,Lots,Turnover,O/C,Fee,TotalP/L,PremiumReceived/Paid,Trans.No.,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
20180725,大商所/DCE,豆粕/SOYBEAN MEAL,m1808,卖/S,投/S,3080.000,60,1848000.00,开/O,102.00,0.00,0.00,10000039,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
共1条,,,,,,,60,1848000.00,,102.00,0.00,0.00,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
""
能源中心---INE 上期所---SHFE 中金所---CFFEX 大商所---DCE 郑商所---CZCE
买---Buy 卖---Sell
投---Speculation 保---Hedge 套---Arbitrage 市---MarketMaker
开---Open 平---Close 平今---Close Today 强平--- Forced Liquidation
平昨--- Close Prev. 强减--- Forced Reduction 本地强平--- Local Forced Liquidation
持仓明细 Positions Detail
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
交易所,品种,合约,开仓日期,投/保,买/卖,持仓量,开仓价,昨结算,结算价,浮动盈亏,盯市盈亏,保证金,期权市值,
Exchange,Product,Instrument,OpenDate,S/H,B/S,Positon,Pos.OpenPrice,Prev.Sttl,SettlementPrice,Accum.P/L,MTMP/L,Margin,MarketValue(Options),
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
大商所/DCE,豆粕/SOYBEAN MEAL,m1808,20180725,投/S,卖/S,60,3080.000,3080.000,3081.000,-600.00,-600.00,203346.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180420,投/S,买/B,3,3211.000,3114.000,3130.000,-2430.00,480.00,7512.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180420,投/S,买/B,7,3211.000,3114.000,3130.000,-5670.00,1120.00,17528.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180605,投/S,买/B,16,3006.000,3114.000,3130.000,19840.00,2560.00,40064.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180605,投/S,买/B,50,3006.000,3114.000,3130.000,62000.00,8000.00,125200.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180625,投/S,卖/S,27,2994.000,3114.000,3130.000,-36720.00,-4320.00,67608.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,5,3028.000,3114.000,3130.000,-5100.00,-800.00,12520.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3037.000,3114.000,3130.000,-1860.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,1,3038.000,3114.000,3130.000,-920.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3039.000,3114.000,3130.000,-1820.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,1,3039.000,3114.000,3130.000,-910.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,1,3036.000,3114.000,3130.000,-940.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,1,3036.000,3114.000,3130.000,-940.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3036.000,3114.000,3130.000,-1880.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,6,3035.000,3114.000,3130.000,-5700.00,-960.00,15024.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3035.000,3114.000,3130.000,-1900.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3035.000,3114.000,3130.000,-1900.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,3,3034.000,3114.000,3130.000,-2880.00,-480.00,7512.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,3,3034.000,3114.000,3130.000,-2880.00,-480.00,7512.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,1,3035.000,3114.000,3130.000,-950.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,8,3038.000,3114.000,3130.000,-7360.00,-1280.00,20032.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,8,3039.000,3114.000,3130.000,-7280.00,-1280.00,20032.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,4,3039.000,3114.000,3130.000,-3640.00,-640.00,10016.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,4,3039.000,3114.000,3130.000,-3640.00,-640.00,10016.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,4,3040.000,3114.000,3130.000,-3600.00,-640.00,10016.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,4,3040.000,3114.000,3130.000,-3600.00,-640.00,10016.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3040.000,3114.000,3130.000,-1800.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3040.000,3114.000,3130.000,-1800.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,4,3041.000,3114.000,3130.000,-3560.00,-640.00,10016.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,1,3038.000,3114.000,3130.000,-920.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3060.000,3114.000,3130.000,-1400.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,1,3060.000,3114.000,3130.000,-700.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3060.000,3114.000,3130.000,-1400.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,3,3060.000,3114.000,3130.000,-2100.00,-480.00,7512.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,2,3060.000,3114.000,3130.000,-1400.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,4,3060.000,3114.000,3130.000,-2800.00,-640.00,10016.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180626,投/S,卖/S,6,3060.000,3114.000,3130.000,-4200.00,-960.00,15024.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180627,投/S,卖/S,1,3129.000,3114.000,3130.000,-10.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180627,投/S,卖/S,1,3129.000,3114.000,3130.000,-10.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180628,投/S,卖/S,104,3130.000,3114.000,3130.000,0.00,-16640.00,260416.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180628,投/S,卖/S,2,3130.000,3114.000,3130.000,0.00,-320.00,5008.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180628,投/S,卖/S,1,3130.000,3114.000,3130.000,0.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180628,投/S,卖/S,1,3130.000,3114.000,3130.000,0.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180628,投/S,卖/S,1,3130.000,3114.000,3130.000,0.00,-160.00,2504.00,0.00,
大商所/DCE,豆粕/SOYBEAN MEAL,m1809,20180628,投/S,卖/S,1,3130.000,3114.000,3130.000,0.00,-160.00,2504.00,0.00,
