.
国投安信期货有限公司
---------------------------------------------------------------------------------------------------------------------
""
""
交易结算单（逐笔）
---------------------------------------------------------------------------------------------------------------------
资产帐号,客户简称,开始时间,结束时间,币种
---------------------------------------------------------------------------------------------------------------------
81518902,东莞谷物,20180518,20180518,人民币
""
""
""
期货客户帐单_资金清单
---------------------------------------------------------------------------------------------------------------------
上日结存:,10042554.00,保证金占用:,7910240.00
期间入金:,6000000.00,质押金:,0.00
期间出金:,5000000.00,可用资金:,2460044.00
期间手续费:,1500.00,风险度:,76.28%
平仓盈亏（含交割盈亏）:,0.00,追加保证金:,0.00
交割货款:,0.00,交割盈亏:,0.00
当日结存:,11041054.00,质押变动金额:,0.00
浮动盈亏:,-670770.00,交易所保证金:,6921460.00
客户权益:,10370284.00
---------------------------------------------------------------------------------------------------------------------
""
""
""
""
期货客户帐单_资金流水单
------------------------------------------------------------------------------
日期,时间,流水号,业务名称,入金,出金,注释
20180518,154300,9,现金取,0.00,5000000.00
20180518,085622,1,现金存,6000000.00,0.00
合计,,,,6000000.00,5000000.00
""
""
期货客户帐单_成交记录单
--------------------------------------------------------------------------------------------------------------------------
成交日期,交易所,合约代码,成交编号,买／卖,套投,成交价格,手数,成交金额,开／平,手续费,平仓盈亏,浮动平仓盈亏
--------------------------------------------------------------------------------------------------------------------------
20180518,大连,c1901,10248379,买,投机,1818.00,400,7272000.00,开仓,1000.00,0.00,0.00
20180518,大连,c1901,10357609,买,投机,1819.00,200,3638000.00,开仓,500.00,0.00,0.00
合计,,,,,,,600,10910000.00,,1500.00,0.00,0.00
""
""
期货客户帐单_持仓明细单
---------------------------------------------------------------------------------------------------------------------
交易所,合约代码,买手,买价,卖手,卖价,昨结算价,今结算价,浮动盈亏,盯市盈亏,套投,交易编码
---------------------------------------------------------------------------------------------------------------------
大连,c1807,0,0.00,293,1751.00,1763.00,1760.00,-26370.00,8790.00,套保,00831900
大连,c1807,0,0.00,50,1751.00,1763.00,1760.00,-4500.00,1500.00,套保,00831900
大连,c1807,0,0.00,5,1751.00,1763.00,1760.00,-450.00,150.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,50,1751.00,1763.00,1760.00,-4500.00,1500.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,5,1751.00,1763.00,1760.00,-450.00,150.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,20,1751.00,1763.00,1760.00,-1800.00,600.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,10,1751.00,1763.00,1760.00,-900.00,300.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,5,1751.00,1763.00,1760.00,-450.00,150.00,套保,00831900
大连,c1807,0,0.00,5,1751.00,1763.00,1760.00,-450.00,150.00,套保,00831900
大连,c1807,0,0.00,44,1751.00,1763.00,1760.00,-3960.00,1320.00,套保,00831900
大连,c1807,0,0.00,150,1751.00,1763.00,1760.00,-13500.00,4500.00,套保,00831900
大连,c1807,0,0.00,100,1751.00,1763.00,1760.00,-9000.00,3000.00,套保,00831900
大连,c1807,0,0.00,20,1751.00,1763.00,1760.00,-1800.00,600.00,套保,00831900
大连,c1807,0,0.00,5,1751.00,1763.00,1760.00,-450.00,150.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,100,1751.00,1763.00,1760.00,-9000.00,3000.00,套保,00831900
大连,c1807,0,0.00,114,1751.00,1763.00,1760.00,-10260.00,3420.00,套保,00831900
大连,c1807,0,0.00,138,1751.00,1763.00,1760.00,-12420.00,4140.00,套保,00831900
大连,c1807,0,0.00,100,1751.00,1763.00,1760.00,-9000.00,3000.00,套保,00831900
大连,c1807,0,0.00,15,1751.00,1763.00,1760.00,-1350.00,450.00,套保,00831900
大连,c1807,0,0.00,15,1751.00,1763.00,1760.00,-1350.00,450.00,套保,00831900
大连,c1807,0,0.00,50,1751.00,1763.00,1760.00,-4500.00,1500.00,套保,00831900
大连,c1807,0,0.00,10,1751.00,1763.00,1760.00,-900.00,300.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,100,1751.00,1763.00,1760.00,-9000.00,3000.00,套保,00831900
大连,c1807,0,0.00,100,1751.00,1763.00,1760.00,-9000.00,3000.00,套保,00831900
大连,c1807,0,0.00,140,1751.00,1763.00,1760.00,-12600.00,4200.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,20,1751.00,1763.00,1760.00,-1800.00,600.00,套保,00831900
大连,c1807,0,0.00,28,1751.00,1763.00,1760.00,-2520.00,840.00,套保,00831900
大连,c1807,0,0.00,4,1751.00,1763.00,1760.00,-360.00,120.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,4,1751.00,1763.00,1760.00,-360.00,120.00,套保,00831900
大连,c1807,0,0.00,4,1751.00,1763.00,1760.00,-360.00,120.00,套保,00831900
大连,c1807,0,0.00,10,1751.00,1763.00,1760.00,-900.00,300.00,套保,00831900
大连,c1807,0,0.00,155,1751.00,1763.00,1760.00,-13950.00,4650.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,3,1751.00,1763.00,1760.00,-270.00,90.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,2,1751.00,1763.00,1760.00,-180.00,60.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,1,1751.00,1763.00,1760.00,-90.00,30.00,套保,00831900
大连,c1807,0,0.00,18,1751.00,1763.00,1760.00,-1620.00,540.00,套保,00831900
大连,c1807,0,0.00,63,1749.00,1763.00,1760.00,-6930.00,1890.00,套保,00831900
大连,c1807,0,0.00,183,1744.00,1763.00,1760.00,-29280.00,5490.00,套保,00831900
大连,c1807,0,0.00,124,1744.00,1763.00,1760.00,-19840.00,3720.00,套保,00831900
大连,c1807,0,0.00,1,1744.00,1763.00,1760.00,-160.00,30.00,套保,00831900
