Custom Account Name,Account Name,strategy code,Account,Buy,Sell,Trade Price,CCY,Trade Date,Statement Date,buy_sell_priority,Volume,Exchange Name,Exchange Code,Contract Description,Contract Code,Month,Year,put_call,Strike,Prompt Date,Instrument Type,Settlement Date,Instrument,Option Premium,Executing Broker,Execution Fee,Clearing Fees,Total Fees,Trade Type,Instrument Code,Exportable Trade Price,ClearingFee,Clearing Fee CCY,Commission CCY,Commission Japanese,Commission Japanese CCY,Exchange Fee,Exchange Fee CCY,Exchange Tax,Exchange Tax CCY,Executing Broker Code,Execution Fee CCY,Calculated Exportable Trade Price,Exchange Ticker,Transaction Source Type,Account Sequence,Record Number,Exchange Trade Reference,Unwind Price,Unwind Amount (ctr),Settlement Amount in USD,Fixing Date
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,,S,2485.00,CNY,20181031,20181031,,100,CZCE,7O,Rap Meal 19 Jan,RM,01,19,,,,,,,,,,300.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,2326.00,CNY,20181031,20181031,,92,CZCE,7O,Rap Meal 19 May,RM,05,19,,,,,,,,,,276.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,2327.00,CNY,20181031,20181031,,261,CZCE,7O,Rap Meal 19 May,RM,05,19,,,,,,,,,,783.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,2328.00,CNY,20181031,20181031,,47,CZCE,7O,Rap Meal 19 May,RM,05,19,,,,,,,,,,141.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,3309.00,CNY,20181031,20181031,,18,DCE,7C,Soybean Meal 19 Jan,m,01,19,,,,,,,,,,54.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,3315.00,CNY,20181031,20181031,,883,DCE,7C,Soybean Meal 19 Jan,m,01,19,,,,,,,,,,2649.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,3310.00,CNY,20181031,20181031,,98,DCE,7C,Soybean Meal 19 Jan,m,01,19,,,,,,,,,,294.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,3313.00,CNY,20181031,20181031,,18,DCE,7C,Soybean Meal 19 Jan,m,01,19,,,,,,,,,,54.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,3311.00,CNY,20181031,20181031,,44,DCE,7C,Soybean Meal 19 Jan,m,01,19,,,,,,,,,,132.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,,81082801,B,,3309.00,CNY,20181031,20181031,,88,DCE,7C,Soybean Meal 19 Jan,m,01,19,,,,,,,,,,264.00,,,,,,,CNY,,,,CNY,,,,,,,,,,,,,,
