Account Name,Custom Account Name,Sum Net Position,Sum Long Position,Sum Short Position,Account,Statement Date,CCY,Last Trading Date,Contract Code,Exchange Code,Exchange Name,Month,Option Expiry Date,Strike,Year,Instrument Type,Settlement Price,Sum Unrealized P&L,Contract Description,P/C ,Instrument,Delta Factor,Delta Quotient,First Exercise Date ,Instrument Code,Pending Settlement Date,First Notice Date,Prompt Date,Account Type Description,Equity Description,Exportable Settlement Price,Transaction Source Type,Account Sequence,CFTC Account Number New,Business Unit,OPTION_SERIAL_MONTH+OPTION_SERIAL_YEAR,Avg Buy Price,Avg Sell Price,Prev. Sttl,Sttl Today
Cargill Grain&Oilseeds(Dongguan) Ltd-grain,Cargill Grain&Oilseeds(Dongguan) Ltd-grain,-4500,0,4500,81518902,20181031,CNY,20190115,c,7C,DCE,01,,,19,,1893.00,-55000.00,Corn 19 Jan,,,,,,,,,,,,,,,,,,0.00,1891.78,1904.00,1893.00
Cargill Grain&Oilseeds(Dongguan) Ltd-grain,Cargill Grain&Oilseeds(Dongguan) Ltd-grain,1280,1280,0,81518902,20181031,CNY,20190517,c,7C,DCE,05,,,19,,2000.00,257200.00,Corn 19 May,,,,,,,,,,,,,,,,,,1979.91,0.00,2011.00,2000.00
Cargill Grain&Oilseeds(Dongguan) Ltd-grain,Cargill Grain&Oilseeds(Dongguan) Ltd-grain,520,520,0,81518902,20181031,CNY,20190517,c,7C,DCE,05,,,19,,2000.00,78670.00,Corn 19 May,,,,,,,,,,,,,,,,,,1984.87,0.00,2011.00,2000.00
Cargill Grain&Oilseeds(Dongguan) Ltd-grain,Cargill Grain&Oilseeds(Dongguan) Ltd-grain,-1280,0,1280,81518902,20181031,CNY,20190916,c,7C,DCE,09,,,19,,2078.00,-230300.00,Corn 19 Sep,,,,,,,,,,,,,,,,,,0.00,2060.01,2088.00,2078.00
Cargill Grain&Oilseeds(Dongguan) Ltd-grain,Cargill Grain&Oilseeds(Dongguan) Ltd-grain,-520,0,520,81518902,20181031,CNY,20190916,c,7C,DCE,09,,,19,,2078.00,-66370.00,Corn 19 Sep,,,,,,,,,,,,,,,,,,0.00,2065.24,2088.00,2078.00
Cargill Grain&Oilseeds(Dongguan) Ltd,Cargill Grain&Oilseeds(Dongguan) Ltd,214,214,0,81518901,20181031,CNY,20190115,m,7C,DCE,01,,,19,,3315.00,174710.00,Soybean Meal 19 Jan,,,,,,,,,,,,,,,,,,3233.36,0.00,3317.00,3315.00
Cargill Grain&Oilseeds(Dongguan) Ltd,Cargill Grain&Oilseeds(Dongguan) Ltd,-514,0,514,81518901,20181031,CNY,20190115,p,7C,DCE,01,,,19,,4634.00,1315460.00,Palm Oil 19 Jan,,,,,,,,,,,,,,,,,,0.00,4889.93,4658.00,4634.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,-12,0,12,81082801,20181031,CNY,20190115,b,7C,DCE,01,,,19,,3543.00,17030.00,Soybean II 19 Jan,,,,,,,,,,,,,,,,,,0.00,3684.92,3547.00,3543.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,-46,95,141,81082801,20181031,CNY,20190115,m,7C,DCE,01,,,19,,3315.00,1870.00,Soybean Meal 19 Jan,,,,,,,,,,,,,,,,,,3359.04,3346.00,3317.00,3315.00
Cargill Investments(China) Ltd,Cargill Investments(China) Ltd,3284,3295,11,81082801,20181031,CNY,20190115,m,7C,DCE,01,,,19,,3315.00,-845490.00,Soybean Meal 19 Jan,,,,,,,,,,,,,,,,,,3340.91,3390.00,3317.00,3315.00
